-0.476,-0.133,6.648
-0.614,-0.278,6.564
-0.748,-0.427,6.472
-0.876,-0.580,6.380
-0.998,-0.738,6.290
-1.115,-0.900,6.202
-1.226,-1.067,6.122
-1.329,-1.238,6.057
-1.425,-1.414,5.998
-1.513,-1.593,5.940
-1.593,-1.776,5.867
-1.665,-1.963,5.775
-1.729,-2.153,5.669
-1.785,-2.345,5.553
-1.832,-2.539,5.431
-1.871,-2.735,5.305
-1.900,-2.933,5.182
-1.919,-3.132,5.064
-1.927,-3.332,4.951
-1.923,-3.532,4.847
-1.907,-3.731,4.752
-1.877,-3.929,4.665
-1.832,-4.123,4.584
-1.773,-4.314,4.507
-1.698,-4.500,4.436
-1.607,-4.678,4.375
-1.501,-4.847,4.335
-1.379,-5.005,4.322
-1.241,-5.150,4.320
-1.088,-5.279,4.318
-0.923,-5.392,4.340
-0.748,-5.488,4.376
-0.565,-5.569,4.442
-0.376,-5.634,4.538
-0.183,-5.686,4.645
0.013,-5.725,4.755
0.212,-5.750,4.859
0.411,-5.763,4.965
0.611,-5.765,5.082
0.811,-5.756,5.205
1.010,-5.738,5.334
1.208,-5.711,5.474
1.405,-5.676,5.627
1.601,-5.636,5.799
1.796,-5.590,5.977
1.989,-5.541,6.149
2.183,-5.490,6.316
2.376,-5.438,6.479
2.569,-5.387,6.638
2.763,-5.338,6.793
2.957,-5.291,6.944
3.152,-5.247,7.092
3.348,-5.206,7.064
3.545,-5.168,6.906
3.742,-5.134,6.752
3.939,-5.105,6.605
4.138,-5.080,6.467
4.337,-5.060,6.342
4.536,-5.047,6.234
4.736,-5.040,6.166
4.936,-5.042,6.159
5.136,-5.055,6.156
5.334,-5.077,6.154
5.532,-5.109,6.186
5.728,-5.149,6.250
5.922,-5.196,6.345
6.115,-5.248,6.473
6.307,-5.305,6.632
6.498,-5.364,6.787
6.688,-5.426,6.939
6.879,-5.487,6.947
7.069,-5.547,6.734
7.261,-5.605,6.549
7.453,-5.660,6.389
7.647,-5.709,6.251
7.842,-5.753,6.129
8.038,-5.791,6.015
8.236,-5.821,5.901
8.434,-5.844,5.785
8.634,-5.859,5.660
8.834,-5.866,5.524
9.034,-5.866,5.377
9.234,-5.857,5.223
9.433,-5.839,5.062
9.631,-5.812,4.894
9.827,-5.776,4.719
10.022,-5.730,4.550
10.213,-5.671,4.396
10.400,-5.600,4.268
10.581,-5.514,4.196
10.752,-5.411,4.194
10.911,-5.290,4.192
11.056,-5.152,4.195
11.186,-5.001,4.262
11.302,-4.838,4.333
11.402,-4.665,4.404
11.488,-4.484,4.484
11.559,-4.298,4.566
11.615,-4.106,4.649
11.657,-3.910,4.732
11.685,-3.712,4.815
11.700,-3.513,4.900
11.702,-3.313,4.992
11.692,-3.113,5.091
11.670,-2.914,5.196
11.638,-2.717,5.302
11.597,-2.521,5.409
11.546,-2.328,5.516
11.486,-2.137,5.619
11.417,-1.950,5.716
11.340,-1.765,5.806
11.255,-1.584,5.882
11.161,-1.408,5.944
11.059,-1.235,6.000
10.950,-1.068,6.070
10.834,-0.905,6.159
10.713,-0.746,6.258
10.586,-0.591,6.360
10.454,-0.441,6.445
10.316,-0.297,6.504
10.172,-0.157,6.554
10.024,-0.023,6.613
9.871,0.105,6.682
9.713,0.229,6.753
9.552,0.347,6.826
9.387,0.460,6.900
9.219,0.568,6.975
9.047,0.671,7.050
8.873,0.769,7.126
8.696,0.862,7.202
8.516,0.950,7.279
8.335,1.033,7.356
8.151,1.112,7.434
7.965,1.185,7.513
7.777,1.255,7.593
7.588,1.320,7.673
7.398,1.380,7.752
7.206,1.436,7.830
7.013,1.488,7.907
6.818,1.536,7.982
6.623,1.579,8.056
6.427,1.618,8.127
6.230,1.653,8.194
6.032,1.684,8.257
5.834,1.710,8.313
5.635,1.732,8.364
5.436,1.750,8.419
5.237,1.763,8.479
5.037,1.772,8.500
4.837,1.777,8.500
4.637,1.778,8.500
4.437,1.774,8.454
4.237,1.766,8.394
4.038,1.754,8.330
3.838,1.737,8.265
3.640,1.716,8.198
3.441,1.691,8.131
3.243,1.661,8.064
3.046,1.627,7.999
2.850,1.588,7.934
2.655,1.545,7.872
2.461,1.497,7.811
2.268,1.443,7.752
2.077,1.385,7.694
1.887,1.322,7.637
1.699,1.253,7.584
1.514,1.180,7.532
1.330,1.100,7.483
1.149,1.016,7.437
0.970,0.926,7.392
0.794,0.831,7.351
0.622,0.730,7.312
0.452,0.623,7.276
0.287,0.511,7.243
0.125,0.393,7.215
-0.032,0.270,7.193
-0.185,0.141,7.176
-0.333,0.007,7.172
